views,likes,comments,category,channel,trending
1693743,297207,19870,News,Channel_6,0
4305572,248976,45147,Sports,Channel_30,1
4927484,138127,17386,Music,Channel_55,1
2235489,29724,8614,Gaming,Channel_28,0
1571006,165468,25147,Education,Channel_61,1
1137074,270716,11101,News,Channel_77,1
4045887,12036,40674,Gaming,Channel_55,0
1240911,106157,38127,News,Channel_36,0
4473471,31599,20914,Music,Channel_74,0
2139242,108209,9615,Music,Channel_74,1
4524669,288998,23053,Gaming,Channel_5,1
4982505,208584,34521,Sports,Channel_29,0
1767891,214350,13481,Gaming,Channel_100,0
4522373,54718,46898,Gaming,Channel_12,1
3345769,70835,43882,Education,Channel_22,0
792743,51584,10495,News,Channel_59,0
104355,232419,26282,Sports,Channel_39,0
1263752,186391,146,Music,Channel_2,0
1397025,64240,40275,Sports,Channel_14,0
1308371,254461,49468,Gaming,Channel_10,1
918040,247184,15977,Music,Channel_48,1
2254882,219710,41565,Education,Channel_64,0
3531409,287259,41534,Education,Channel_3,1
4850115,246524,33945,News,Channel_72,1
4722339,264501,44286,Sports,Channel_60,1
4843447,226104,36190,Music,Channel_81,1
1501942,148192,2594,Music,Channel_68,0
4261029,193252,11074,Music,Channel_21,1
3276709,182883,27431,Sports,Channel_94,1
85654,124936,17148,Music,Channel_19,0
1955354,81157,22661,Gaming,Channel_79,0
2417182,19209,27571,Sports,Channel_20,0
3475675,183218,44160,Music,Channel_58,1
2653991,220878,435,News,Channel_42,1
2429388,120797,36119,Education,Channel_94,1
529178,114437,43937,Gaming,Channel_10,1
2664046,148073,16518,Sports,Channel_23,0
2587644,153635,28490,Gaming,Channel_88,0
2571406,220792,21002,Gaming,Channel_12,0
3417664,87503,41763,Gaming,Channel_9,0
3386659,274925,2366,Music,Channel_79,0
3386357,125617,12367,Gaming,Channel_29,1
2796513,246844,11454,Sports,Channel_82,0
1466689,79886,9668,Education,Channel_20,0
69148,167081,3415,Music,Channel_65,0
1826665,202969,31773,Education,Channel_3,1
2746683,243732,10232,Education,Channel_8,1
3398723,44450,29039,Music,Channel_39,1
3004758,31665,25568,Education,Channel_64,1
4057518,43049,37459,Music,Channel_31,0
2670995,72229,7669,Music,Channel_72,0
4451812,186071,24213,Sports,Channel_79,1
4998895,273398,18280,Education,Channel_22,1
4799669,94604,19449,Sports,Channel_96,1
1871928,170633,35516,News,Channel_5,1
4156299,194312,23076,Gaming,Channel_58,1
2558489,290525,2661,Education,Channel_73,1
1774415,159960,23333,Gaming,Channel_79,1
2306413,167239,22759,Music,Channel_63,0
3911197,5924,47941,Sports,Channel_61,0
272836,214782,44367,Music,Channel_52,1
3585702,289334,38875,News,Channel_33,0
2096505,227571,12698,Music,Channel_22,1
2300435,187445,30964,Music,Channel_51,0
197769,95223,31408,Gaming,Channel_11,0
2659505,37815,22885,Sports,Channel_58,1
1272741,126609,13309,News,Channel_50,0
3770315,153785,35429,Sports,Channel_70,0
1047797,190103,15133,Music,Channel_17,1
3048262,74186,8210,Sports,Channel_46,1
1585398,94809,36126,Sports,Channel_44,0
2586031,98395,33043,Gaming,Channel_57,1
565685,235664,4078,Sports,Channel_5,0
2880190,88929,11137,Sports,Channel_39,0
1312736,81472,29350,Gaming,Channel_58,0
1008293,179350,4698,Gaming,Channel_9,0
4775183,165330,33132,Gaming,Channel_93,1
3367612,31169,10165,Education,Channel_23,1
24247,42049,794,Gaming,Channel_47,0
2705238,232984,13646,Sports,Channel_36,0
2631708,47810,23179,Gaming,Channel_31,0
3495679,94636,5870,News,Channel_84,0
1768640,118378,33357,Music,Channel_23,0
2614740,174745,30736,Sports,Channel_56,0
1286160,80913,37081,Music,Channel_71,1
1426472,119008,16211,Music,Channel_46,1
49984,241334,21129,Music,Channel_58,0
2401070,233239,7377,Music,Channel_36,1
3266879,61758,8861,Gaming,Channel_68,1
1505384,41200,17821,Education,Channel_88,0
2231919,40328,12952,News,Channel_60,0
1753126,168100,9047,Gaming,Channel_14,0
4331634,124088,26953,Music,Channel_25,1
1738095,39769,36801,Education,Channel_71,1
2112138,278652,18277,News,Channel_79,1
4781450,25999,23903,Music,Channel_44,1
2110818,156650,18226,Music,Channel_46,0
2232785,161181,22628,Sports,Channel_13,0
4484302,285636,16710,Music,Channel_62,1
2949089,292202,27802,Sports,Channel_19,1
2726928,35824,18784,Music,Channel_12,0
3854339,190776,4278,Music,Channel_90,1
1844400,60214,28677,Music,Channel_48,0
1080111,32854,7500,Education,Channel_33,1
997107,248837,4015,Music,Channel_79,1
3522441,245266,21836,Music,Channel_37,1
4546583,21528,41010,Gaming,Channel_6,0
1871230,23062,7826,Gaming,Channel_89,1
3748389,256356,9201,Sports,Channel_81,0
4143807,69813,29048,Gaming,Channel_43,0
4684874,71534,19941,Sports,Channel_100,0
3603279,224592,15105,Music,Channel_50,1
2122690,67031,153,Sports,Channel_46,0
2992650,211331,41541,News,Channel_73,1
492234,282197,49939,Sports,Channel_28,1
1949260,2429,4886,Gaming,Channel_99,0
4334486,187974,23950,Music,Channel_67,1
1522101,121841,2267,Gaming,Channel_11,1
4379368,244698,20642,Sports,Channel_20,0
4409324,101809,970,Sports,Channel_87,0
3137729,194951,41607,News,Channel_30,1
898421,176292,31288,Gaming,Channel_36,0
123409,108621,46581,Music,Channel_76,0
2017716,137569,17329,Gaming,Channel_100,0
2351770,62122,14450,Gaming,Channel_99,0
770598,239050,5618,Music,Channel_98,0
3268824,278514,34263,Education,Channel_68,1
3332068,233461,2047,Gaming,Channel_88,1
3257415,221500,9364,Sports,Channel_36,0
875371,265171,28794,Music,Channel_58,0
2833868,191206,13091,News,Channel_28,1
3873998,247428,2886,Music,Channel_39,1
974548,221380,21572,Sports,Channel_66,0
3345014,189350,15161,Sports,Channel_43,0
1214475,66330,4158,Gaming,Channel_5,1
3471495,235077,27663,Music,Channel_92,1
2960034,212383,19845,Gaming,Channel_13,1
4575293,293281,6733,Sports,Channel_100,0
44585,180796,34425,Sports,Channel_9,0
3058213,294075,37811,Gaming,Channel_94,1
2540448,266900,32001,News,Channel_57,0
110556,65360,39128,Sports,Channel_27,0
1576557,181427,49630,Sports,Channel_61,1
